change_type	doc_id	source_system	document_type	doc_date	status	url	detail
added	doc-govinfo-transcript-14f372471989	govinfo_wssearch	congressional_record_transcript	2025-07-24	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4703.htm	SENATE RESOLUTION 335--CALLING ON FEDERAL AND STATE COURTS TO PROVIDE FULL TRANSPARENCY TO THE PEOPLE OF THE UNITED STATES BY UNSEALING MATERIALS CONCERNING MR. JEFFREY EPSTEIN
added	doc-govinfo-transcript-3d4ac810913a	govinfo_wssearch	congressional_record_transcript	2025-09-03	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3771.htm	PROVIDING FOR CONSIDERATION OF H.R. 4553, ENERGY AND WATER DEVELOPMENT AND RELATED AGENCIES APPROPRIATIONS ACT, 2026; PROVIDING FOR CONSIDERATION OF H.J. RES. 104, PROVIDING FOR CONGRESSIONAL...
added	doc-govinfo-transcript-4dc4d5bd2bda	govinfo_wssearch	congressional_record_transcript	2025-11-20	published	https://www.govinfo.gov/content/pkg/CREC-2025-11-20/html/CREC-2025-11-20-pt1-PgH4829-3.htm	IRREFUTABLE EVIDENCE
added	doc-govinfo-transcript-715e3f2e3283	govinfo_wssearch	congressional_record_transcript	2024-01-09	published	https://www.govinfo.gov/content/pkg/CREC-2024-01-09/html/CREC-2024-01-09-pt1-PgS35-3.htm	Sex Trafficking (Executive Calendar)
added	doc-recap-3598f731fdeb	courtlistener_recap	pacer_recap_document	2026-01-29	available	https://www.courtlistener.com/docket/72204779/1/epstein-v-town-of-surfside-florida/	EPSTEIN v. Town of Surfside, Florida - Complaint
added	doc-recap-483f952e3953	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/3/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Summon(s)
added	doc-recap-66f5af345915	courtlistener_recap	pacer_recap_document	2026-02-17	unavailable	https://www.courtlistener.com/docket/72204779/11/epstein-v-town-of-surfside-florida/	EPSTEIN v. Town of Surfside, Florida - Summons (Affidavit) Returned Executed
added	doc-recap-da8b2c65f3d6	courtlistener_recap	pacer_recap_document	2026-01-29	unavailable	https://www.courtlistener.com/docket/72204779/1/1/epstein-v-town-of-surfside-florida/	EPSTEIN v. Town of Surfside, Florida - Exhibit A
added	doc-recap-f4a2eb2288d2	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/1/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Civil Cover Sheet
removed	doc-recap-31328936be79	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/4/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Summon(s)
removed	doc-recap-e58c10b2d148	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/2/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Summon(s)
